"question", "correct_answer", "choice1", "choice2", "choice3"
"What are project management knowledge areas?", "Categories of project management processes grouped by subject matter", "Phases of the life cycle", "Steps in the execution process", "Documents created in planning"
"How many knowledge areas are in the PMBOK® Guide?", "10", "5", "9", "12"
"What does the Integration Management knowledge area focus on?", "Coordinating all project elements", "Creating the project budget", "Assigning work to team members", "Resolving team conflict"
"Which knowledge area includes developing the project charter?", "Integration Management", "Scope Management", "HR Management", "Risk Management"
"What is the main goal of Scope Management?", "Ensuring the project includes all the work required", "Scheduling team meetings", "Measuring team performance", "Closing contracts"
"What does Schedule Management deal with?", "Managing project timelines", "Creating risk plans", "Approving change requests", "Purchasing materials"
"What is the key output of the Define Activities process?", "Activity list", "Resource list", "Risk matrix", "WBS"
"Which tool is used to sequence project activities?", "Network diagram", "WBS", "RACI chart", "Flowchart"
"What is the purpose of Cost Management?", "Estimating budgeting and controlling costs", "Managing resources", "Reviewing contracts", "Hiring staff"
"What is Earned Value Management (EVM)?", "A technique to measure project performance against scope cost and schedule", "A budgeting tool", "A quality control process", "A hiring process"
"What is the primary output of the Estimate Costs process?", "Cost estimates", "Project scope", "Project charter", "Risk breakdown"
"Which knowledge area ensures project deliverables meet quality standards?", "Quality Management", "Schedule Management", "Integration Management", "Resource Management"
"What is quality assurance?", "The process of auditing the quality requirements", "Testing the product", "Monitoring risks", "Documenting scope"
"Which process is part of Resource Management?", "Acquire resources", "Estimate activity durations", "Control quality", "Identify risks"
"Who is responsible for managing team dynamics?", "Project manager", "Sponsor", "Client", "Procurement officer"
"What is the main goal of Communications Management?", "Ensuring timely and effective flow of information", "Writing reports", "Collecting payments", "Filing documents"
"What tool is often used for stakeholder communication?", "Communication management plan", "WBS", "Gantt chart", "Charter"
"What is Risk Management concerned with?", "Identifying analyzing and responding to risks", "Buying software", "Hiring developers", "Building scope"
"What is a Risk Register?", "A document listing identified risks and responses", "A financial record", "A schedule of issues", "A communication plan"
"What is the first step in Risk Management?", "Identify risks", "Create response plan", "Monitor issues", "Hire resources"
"Which technique evaluates the probability and impact of risks?", "Qualitative risk analysis", "Monte Carlo simulation", "WBS analysis", "Stakeholder scoring"
